credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo
CR000233,CL00217,2024-02-07,Crédito libre inversión,7700000,18,0.0288,554000,Aliado,900,0.1421,Automática,Finalizado
CR000234,CL00218,2024-10-05,Avance de nómina,250000,3,0.0307,88000,App,783,0.0579,Automática,Finalizado
CR000235,CL00219,2023-11-06,Crédito libre inversión,5300000,24,0.031,316000,App,842,0.0806,Automática,Mora severa
CR000236,CL00220,2024-01-20,Crédito consumo digital,1550000,9,0.0244,194000,Aliado,835,0.0956,Automática,Finalizado
CR000237,CL00221,2025-12-28,Crédito consumo digital,3950000,6,0.0224,711000,App,855,0.1943,Automática,Activo
CR000238,CL00221,2026-02-02,Crédito consumo digital,1200000,6,0.0357,226000,App,878,0.0617,Automática,Activo
CR000239,CL00222,2023-11-04,Avance de nómina,650000,9,0.0214,80000,App,768,0.0964,Automática,Mora severa
CR000240,CL00223,2025-11-19,Crédito consumo digital,1050000,6,0.0347,197000,Call center,726,0.1296,Automática,Activo
CR000241,CL00224,2024-07-11,Microcrédito,4450000,6,0.0427,856000,Aliado,798,0.265,Automática,Finalizado
CR000242,CL00224,2025-08-06,Microcrédito,3550000,18,0.0305,259000,App,847,0.0802,Automática,Mora moderada
CR000243,CL00225,2026-02-01,Crédito consumo digital,2050000,9,0.0367,272000,Aliado,824,0.147,Automática,Activo
CR000244,CL00226,2025-08-22,Crédito libre inversión,5150000,24,0.0237,284000,Web,900,0.0973,Automática,Activo
CR000245,CL00226,2025-11-28,Microcrédito,2100000,12,0.0289,210000,Aliado,823,0.0719,Automática,Activo
CR000246,CL00227,2025-02-04,Crédito consumo digital,2400000,18,0.0202,160000,App,771,0.0842,Automática,Activo
CR000247,CL00228,2024-09-12,Microcrédito,2250000,12,0.0359,234000,Aliado,862,0.0576,Automática,Finalizado
CR000248,CL00229,2026-01-25,Crédito libre inversión,5000000,12,0.0179,467000,App,789,0.2684,Automática,Mora moderada
CR000249,CL00229,2025-09-09,Crédito consumo digital,1500000,12,0.0317,152000,Web,900,0.0874,Automática,Mora moderada
CR000250,CL00230,2025-08-22,Crédito libre inversión,3900000,12,0.0324,397000,App,781,0.1521,Automática,Activo
CR000251,CL00230,2026-01-30,Crédito consumo digital,750000,18,0.0285,54000,App,770,0.0207,Automática,Activo
CR000252,CL00231,2024-11-21,Microcrédito,3050000,12,0.029,305000,App,804,0.1245,Automática,Mora moderada
CR000253,CL00231,2024-11-26,Avance de nómina,1100000,3,0.0275,387000,Web,856,0.158,Automática,Finalizado
CR000254,CL00232,2025-01-29,Crédito libre inversión,9200000,6,0.0194,1639000,App,900,0.4017,Manual,Finalizado
CR000255,CL00232,2024-09-11,Crédito consumo digital,1450000,9,0.0286,185000,App,832,0.0453,Automática,Finalizado
CR000256,CL00233,2024-01-26,Crédito libre inversión,3450000,9,0.026,435000,App,900,0.0946,Automática,Finalizado
CR000257,CL00234,2023-09-02,Crédito consumo digital,1550000,9,0.0251,195000,App,706,0.1114,Automática,Finalizado
CR000258,CL00234,2025-05-24,Crédito libre inversión,1350000,6,0.0253,245000,Aliado,776,0.14,Automática,Finalizado
CR000259,CL00234,2023-05-15,Crédito libre inversión,3100000,6,0.025,563000,Aliado,682,0.3217,Automática,Mora severa
CR000260,CL00235,2025-05-10,Microcrédito,2400000,6,0.0316,445000,Web,885,0.1382,Automática,Finalizado
CR000261,CL00236,2024-10-15,Avance de nómina,650000,6,0.0301,120000,Aliado,873,0.0349,Automática,Finalizado
CR000262,CL00236,2024-05-24,Crédito consumo digital,1600000,12,0.036,167000,Web,866,0.0485,Automática,Finalizado
CR000263,CL00237,2024-07-05,Crédito consumo digital,1900000,6,0.0204,340000,Call center,838,0.1429,Automática,Mora severa
CR000264,CL00238,2025-06-23,Crédito libre inversión,5450000,6,0.019,970000,App,814,0.2608,Automática,Finalizado
CR000265,CL00239,2025-08-12,Crédito consumo digital,2850000,12,0.0268,281000,App,900,0.0376,Automática,Activo
CR000266,CL00239,2026-03-20,Crédito libre inversión,14050000,6,0.0289,2584000,App,900,0.3455,Automática,Activo
CR000267,CL00241,2025-04-11,Crédito consumo digital,3150000,6,0.0367,594000,App,859,0.1619,Automática,Finalizado
CR000268,CL00241,2024-07-29,Crédito libre inversión,3100000,6,0.019,552000,Aliado,861,0.1504,Automática,Finalizado
CR000269,CL00243,2025-09-07,Crédito consumo digital,450000,12,0.0224,43000,App,764,0.0341,Automática,Mora moderada
CR000270,CL00244,2025-01-21,Crédito consumo digital,1500000,6,0.0256,273000,App,861,0.1062,Automática,Mora severa
CR000271,CL00245,2025-08-26,Avance de nómina,1300000,6,0.0188,231000,App,892,0.0589,Automática,Finalizado
CR000272,CL00245,2025-08-07,Crédito consumo digital,2750000,6,0.0342,515000,App,799,0.1314,Automática,Finalizado
CR000273,CL00245,2026-01-15,Crédito libre inversión,3950000,9,0.0256,497000,Web,870,0.1268,Automática,Activo
CR000274,CL00246,2026-03-27,Crédito libre inversión,1200000,3,0.0242,419000,App,755,0.3521,Manual,Activo
CR000275,CL00246,2024-12-11,Avance de nómina,250000,3,0.0213,87000,App,795,0.0731,Automática,Finalizado
CR000276,CL00249,2025-09-20,Crédito libre inversión,4950000,12,0.026,486000,App,831,0.1136,Automática,Activo
CR000277,CL00249,2025-10-19,Crédito libre inversión,8000000,6,0.0201,1429000,App,897,0.3339,Automática,Finalizado
CR000278,CL00250,2024-05-27,Microcrédito,4100000,6,0.0304,758000,App,864,0.1909,Automática,Finalizado
CR000279,CL00252,2025-02-05,Crédito consumo digital,550000,6,0.0305,102000,App,879,0.0368,Automática,Finalizado
CR000280,CL00252,2025-08-08,Crédito consumo digital,2250000,3,0.0339,801000,App,857,0.2892,Automática,Finalizado
CR000281,CL00253,2025-06-01,Microcrédito,1750000,3,0.0354,625000,App,851,0.1766,Automática,Finalizado
CR000282,CL00254,2024-06-17,Crédito libre inversión,2850000,9,0.033,371000,Call center,768,0.132,Automática,Finalizado
CR000283,CL00255,2025-08-24,Crédito consumo digital,4500000,3,0.0323,1598000,Aliado,900,0.3115,Automática,Finalizado
CR000284,CL00256,2023-08-14,Crédito libre inversión,2750000,3,0.0251,963000,App,840,0.5016,Manual,Finalizado
CR000285,CL00258,2025-10-16,Crédito consumo digital,6050000,3,0.0249,2118000,App,900,0.2353,Automática,Finalizado
CR000286,CL00258,2025-08-26,Crédito libre inversión,15100000,6,0.0329,2814000,App,900,0.3127,Automática,Finalizado
CR000287,CL00259,2026-03-08,Microcrédito,4500000,24,0.0318,271000,Web,900,0.085,Automática,Activo
CR000288,CL00261,2025-12-31,Crédito libre inversión,3800000,3,0.026,1333000,Call center,695,0.6409,Excepción,Finalizado
CR000289,CL00262,2026-01-09,Crédito consumo digital,2200000,6,0.0307,407000,App,882,0.1082,Automática,Activo
CR000290,CL00263,2025-11-06,Crédito consumo digital,500000,12,0.0331,51000,Aliado,818,0.0345,Automática,Mora moderada
CR000291,CL00264,2025-09-20,Avance de nómina,300000,6,0.0234,54000,App,717,1.8,Automática,Mora moderada
CR000292,CL00264,2026-01-01,Crédito consumo digital,850000,9,0.029,109000,Aliado,696,0.1363,Automática,Activo
CR000293,CL00265,2025-06-05,Crédito libre inversión,900000,9,0.0189,110000,App,789,0.1068,Automática,Mora moderada
CR000294,CL00265,2024-09-07,Crédito consumo digital,450000,6,0.0297,83000,App,760,0.0806,Automática,Finalizado
CR000295,CL00266,2026-01-01,Microcrédito,6900000,12,0.0359,718000,App,881,0.136,Automática,Activo
CR000296,CL00268,2025-12-13,Crédito consumo digital,950000,9,0.0251,119000,App,811,0.0569,Automática,Activo
CR000297,CL00268,2025-11-18,Microcrédito,1300000,12,0.028,129000,App,900,0.0617,Automática,Activo
CR000298,CL00271,2024-12-20,Microcrédito,3650000,3,0.042,1320000,Aliado,782,0.6502,Excepción,Finalizado
CR000299,CL00272,2025-05-29,Crédito consumo digital,1800000,12,0.0207,171000,Aliado,844,0.0834,Automática,Mora moderada
CR000300,CL00273,2024-05-23,Crédito consumo digital,1150000,12,0.0334,118000,Web,900,0.0393,Automática,Finalizado
CR000301,CL00274,2025-08-25,Crédito libre inversión,3350000,9,0.0239,418000,App,900,0.1263,Automática,Activo
CR000302,CL00276,2025-06-13,Crédito libre inversión,800000,6,0.0187,142000,Aliado,604,0.1303,Manual,Mora moderada
CR000303,CL00277,2025-10-08,Avance de nómina,400000,18,0.0231,27000,App,798,0.0175,Automática,Activo
CR000304,CL00278,2025-10-08,Crédito libre inversión,11000000,18,0.0274,782000,App,887,0.2327,Automática,Activo
CR000305,CL00278,2025-08-19,Crédito consumo digital,850000,9,0.0256,107000,Aliado,861,0.0318,Automática,Activo
CR000306,CL00279,2024-07-24,Crédito libre inversión,8200000,12,0.029,819000,App,900,0.2834,Automática,Mora severa
CR000307,CL00280,2026-01-19,Crédito libre inversión,19300000,6,0.0242,3494000,Web,900,0.5718,Excepción,Mora moderada
CR000308,CL00281,2024-02-07,Microcrédito,4450000,6,0.0415,853000,Aliado,885,0.2666,Automática,Mora severa
CR000309,CL00281,2024-07-08,Avance de nómina,900000,6,0.0249,163000,Call center,900,0.0509,Automática,Finalizado
CR000310,CL00282,2025-12-21,Crédito consumo digital,1400000,6,0.0352,263000,Call center,863,0.0933,Automática,Activo
CR000311,CL00283,2025-08-10,Crédito libre inversión,4150000,24,0.0327,252000,App,900,0.0773,Automática,Activo
CR000312,CL00284,2024-10-26,Crédito consumo digital,1000000,9,0.0323,130000,Aliado,828,0.0546,Automática,Finalizado
CR000313,CL00285,2023-09-01,Avance de nómina,2750000,9,0.0216,340000,Aliado,900,0.053,Automática,Finalizado
CR000314,CL00285,2024-10-03,Crédito libre inversión,8350000,12,0.0249,813000,App,900,0.1266,Automática,Finalizado
CR000315,CL00286,2025-08-15,Microcrédito,3200000,6,0.0265,584000,Aliado,616,0.1915,Manual,Mora moderada
CR000316,CL00286,2026-02-06,Crédito consumo digital,2150000,12,0.0204,204000,Aliado,670,0.0669,Automática,Activo
CR000317,CL00287,2025-09-10,Microcrédito,2500000,9,0.0292,320000,App,900,0.1049,Automática,Activo
CR000318,CL00288,2024-09-30,Crédito libre inversión,2250000,9,0.0206,276000,Web,817,0.1015,Automática,Finalizado
CR000319,CL00288,2025-06-24,Crédito consumo digital,1050000,24,0.021,56000,Aliado,805,0.0206,Automática,Mora moderada
CR000320,CL00289,2025-09-05,Crédito consumo digital,650000,9,0.0354,86000,Aliado,367,0.1012,Excepción,Activo
CR000321,CL00289,2024-09-03,Crédito consumo digital,250000,12,0.0317,25000,App,506,0.0294,Excepción,Finalizado
CR000322,CL00290,2024-11-20,Crédito consumo digital,800000,3,0.0334,285000,App,761,0.1109,Automática,Finalizado
CR000323,CL00291,2024-06-30,Crédito consumo digital,3100000,12,0.0296,311000,Web,900,0.0816,Automática,Mora moderada
CR000324,CL00292,2024-03-16,Microcrédito,4100000,3,0.0265,1440000,Call center,900,0.2222,Automática,Finalizado
CR000325,CL00292,2024-04-10,Crédito consumo digital,4450000,6,0.0329,829000,App,900,0.1279,Automática,Finalizado
CR000326,CL00293,2025-07-11,Crédito libre inversión,7000000,9,0.0283,892000,Call center,900,0.1306,Automática,Finalizado
CR000327,CL00294,2024-07-09,Microcrédito,1700000,12,0.0265,167000,App,889,1.2,Automática,Mora severa
CR000328,CL00294,2025-04-19,Microcrédito,2650000,6,0.0278,486000,App,754,0.2068,Automática,Finalizado
CR000329,CL00295,2025-11-15,Microcrédito,1250000,6,0.0447,242000,App,764,0.1192,Automática,Activo
CR000330,CL00295,2024-05-01,Microcrédito,1650000,12,0.0279,164000,App,778,0.0808,Automática,Finalizado
CR000331,CL00296,2025-09-27,Microcrédito,5800000,18,0.035,440000,Web,900,0.0837,Automática,Activo
CR000332,CL00297,2025-08-20,Crédito consumo digital,2250000,24,0.0313,135000,App,885,0.0255,Automática,Activo
CR000333,CL00298,2023-10-23,Crédito libre inversión,3450000,12,0.0241,335000,App,886,0.0985,Automática,Mora severa
CR000334,CL00299,2025-11-20,Microcrédito,2500000,18,0.0354,190000,App,687,0.0617,Automática,Activo
CR000335,CL00300,2026-02-26,Crédito consumo digital,1300000,12,0.0347,134000,App,862,0.0565,Automática,Activo
CR000336,CL00301,2026-01-04,Crédito consumo digital,1550000,6,0.0359,292000,Web,543,0.0859,Manual,Activo
CR000337,CL00305,2025-06-15,Crédito libre inversión,3750000,6,0.023,676000,App,804,0.2339,Automática,Finalizado
CR000338,CL00305,2025-06-26,Crédito consumo digital,3900000,3,0.095,1355000,App,885,0.4689,Manual,Mora moderada
CR000339,CL00306,2025-03-11,Crédito consumo digital,1000000,3,0.0377,359000,Web,878,0.1397,Automática,Finalizado
CR000340,CL00307,2025-10-12,Microcrédito,3200000,12,0.0373,336000,App,766,0.1028,Automática,Activo
CR000341,CL00308,2025-10-06,Crédito consumo digital,450000,24,0.0321,27000,Aliado,776,0.0173,Automática,Mora severa
CR000342,CL00308,2026-02-15,Microcrédito,850000,6,0.044,164000,App,827,0.1051,Automática,Activo
CR000343,CL00308,2025-09-11,Crédito consumo digital,500000,3,0.0381,180000,Web,837,0.1154,Automática,Finalizado
CR000344,CL00309,2026-02-02,Microcrédito,4900000,3,0.0277,1725000,Web,742,0.4345,Manual,Activo
CR000345,CL00310,2026-03-27,Crédito consumo digital,800000,3,0.0216,278000,Aliado,750,0.1917,Automática,Activo
CR000346,CL00312,2025-03-04,Crédito libre inversión,3300000,6,0.0338,617000,Aliado,900,0.2742,Automática,Mora moderada
CR000347,CL00312,2025-09-27,Crédito libre inversión,2300000,12,0.018,215000,App,853,0.0956,Automática,Activo
CR000348,CL00313,2025-09-06,Crédito consumo digital,800000,6,0.0261,146000,App,886,0.0954,Automática,Finalizado
CR000349,CL00314,2025-02-25,Crédito libre inversión,6000000,18,0.0329,447000,Web,900,0.1077,Automática,Mora moderada
CR000350,CL00314,2026-03-07,Crédito libre inversión,6400000,18,0.0318,473000,App,900,0.114,Automática,Activo
CR000351,CL00317,2025-10-13,Avance de nómina,2850000,6,0.0232,514000,App,900,0.1346,Automática,Mora moderada
CR000352,CL00318,2023-09-26,Crédito consumo digital,4150000,6,0.0214,744000,App,858,0.1679,Automática,Finalizado
CR000353,CL00319,2025-06-12,Microcrédito,1200000,24,0.0339,74000,App,832,0.0404,Automática,Activo
CR000354,CL00319,2025-05-28,Crédito consumo digital,850000,9,0.0249,107000,Web,791,0.0585,Automática,Finalizado
CR000355,CL00320,2025-10-03,Crédito consumo digital,3300000,9,0.0381,440000,Web,900,0.0743,Automática,Activo
CR000356,CL00321,2025-10-01,Crédito consumo digital,1550000,6,0.0317,288000,Aliado,900,0.0567,Automática,Finalizado
CR000357,CL00321,2025-08-05,Crédito libre inversión,5600000,3,0.0276,1971000,App,900,0.388,Manual,Finalizado
CR000358,CL00322,2025-12-14,Crédito consumo digital,3750000,12,0.0336,385000,Web,767,0.1546,Automática,Activo
CR000359,CL00322,2026-03-08,Microcrédito,3450000,3,0.0415,1247000,App,792,0.5008,Manual,Activo
CR000360,CL00323,2024-09-29,Crédito libre inversión,8050000,6,0.0207,1440000,App,750,0.5333,Manual,Finalizado
CR000361,CL00324,2025-07-01,Microcrédito,2500000,3,0.0358,894000,Aliado,900,0.3679,Manual,Finalizado
CR000362,CL00325,2024-08-22,Crédito libre inversión,7200000,3,0.0335,2563000,Web,296,1.5821,Excepción,Mora moderada
CR000363,CL00327,2024-09-30,Crédito libre inversión,1200000,3,0.0274,422000,App,731,0.6594,Excepción,Mora moderada
CR000364,CL00328,2025-03-12,Microcrédito,2500000,3,0.0382,898000,Call center,860,0.2897,Automática,Finalizado
CR000365,CL00328,2024-09-19,Crédito consumo digital,1950000,6,0.0266,356000,App,896,0.1148,Automática,Finalizado
CR000366,CL00328,2025-04-09,Crédito consumo digital,1150000,6,0.0306,213000,App,900,0.0687,Automática,Finalizado
CR000367,CL00329,2025-12-22,Crédito consumo digital,2050000,9,0.0209,252000,Web,900,0.0708,Automática,Activo
CR000368,CL00332,2024-05-11,Crédito consumo digital,1750000,6,0.0352,329000,App,767,0.1388,Automática,Finalizado
CR000369,CL00333,2025-01-25,Avance de nómina,1250000,3,0.0308,443000,Web,781,0.2395,Automática,Mora moderada
CR000370,CL00334,2024-03-15,Crédito consumo digital,1000000,6,0.0322,186000,App,704,0.0886,Automática,Finalizado
CR000371,CL00335,2026-02-08,Crédito consumo digital,1400000,3,0.0271,492000,Aliado,900,0.1386,Automática,Activo
CR000372,CL00336,2024-10-04,Microcrédito,2800000,12,0.0414,301000,Aliado,830,0.1091,Automática,Finalizado
CR000373,CL00340,2024-01-01,Microcrédito,5450000,9,0.0359,719000,App,900,0.1692,Automática,Finalizado
CR000374,CL00341,2025-07-26,Microcrédito,950000,9,0.0435,130000,Web,699,0.0818,Automática,Mora severa
CR000375,CL00341,2026-02-23,Crédito libre inversión,2600000,9,0.0278,330000,Aliado,748,0.2075,Automática,Activo
CR000376,CL00344,2025-05-11,Crédito consumo digital,1650000,6,0.0255,300000,App,881,0.1887,Automática,Finalizado
CR000377,CL00344,2025-12-18,Crédito consumo digital,900000,9,0.033,117000,Aliado,838,0.0736,Automática,Activo
CR000378,CL00345,2025-09-11,Microcrédito,850000,9,0.0445,117000,Call center,585,0.2089,Manual,Mora moderada
CR000379,CL00345,2026-01-29,Crédito consumo digital,550000,12,0.0202,52000,Aliado,694,0.0929,Automática,Mora moderada
CR000380,CL00346,2026-02-19,Crédito consumo digital,3200000,12,0.0305,322000,Call center,827,0.1253,Automática,Activo
CR000381,CL00347,2026-02-12,Microcrédito,2100000,9,0.04,282000,App,805,0.1097,Automática,Mora moderada
CR000382,CL00348,2025-08-09,Crédito libre inversión,1950000,6,0.0305,361000,App,797,0.1778,Automática,Mora moderada
CR000383,CL00349,2025-06-17,Crédito consumo digital,1700000,12,0.0306,171000,App,900,0.052,Automática,Mora moderada
CR000384,CL00351,2024-11-15,Avance de nómina,700000,6,0.0309,130000,Web,778,0.0553,Automática,Mora moderada
CR000385,CL00352,2025-03-05,Crédito consumo digital,1300000,6,0.0206,233000,App,822,0.1438,Automática,Finalizado
CR000386,CL00353,2023-06-02,Crédito libre inversión,18800000,6,0.017,3323000,Aliado,900,0.3323,Automática,Finalizado
CR000387,CL00354,2025-05-30,Crédito consumo digital,1950000,9,0.0309,252000,App,844,0.0881,Automática,Finalizado
CR000388,CL00355,2025-03-06,Crédito consumo digital,1600000,18,0.0311,117000,Call center,891,0.06,Automática,Activo
CR000389,CL00356,2025-11-13,Crédito consumo digital,1250000,18,0.0303,91000,Aliado,820,0.0446,Automática,Activo
CR000390,CL00357,2025-06-25,Crédito libre inversión,950000,3,0.0258,333000,Aliado,719,0.2622,Automática,Finalizado
CR000391,CL00357,2024-10-17,Microcrédito,1050000,12,0.0269,104000,Web,740,0.0819,Automática,Mora severa
CR000392,CL00358,2024-02-24,Microcrédito,8050000,9,0.0333,1050000,App,878,0.3088,Automática,Finalizado
CR000393,CL00359,2026-03-23,Crédito libre inversión,6700000,24,0.0273,384000,App,874,0.1333,Automática,Activo
CR000394,CL00362,2024-10-25,Avance de nómina,800000,12,0.0244,78000,App,820,0.0438,Automática,Mora severa
CR000395,CL00363,2024-08-01,Crédito libre inversión,2950000,6,0.0202,527000,Aliado,900,0.1514,Automática,Finalizado
CR000396,CL00363,2024-02-13,Avance de nómina,1700000,12,0.0214,162000,Aliado,900,0.0466,Automática,Finalizado
CR000397,CL00364,2026-02-13,Crédito consumo digital,2250000,6,0.0323,418000,App,884,0.1614,Automática,Activo
CR000398,CL00364,2026-03-10,Crédito consumo digital,700000,9,0.026,88000,Aliado,791,0.034,Automática,Activo
CR000399,CL00366,2026-01-06,Avance de nómina,1200000,12,0.0214,114000,App,897,0.0432,Automática,Activo
CR000400,CL00366,2025-10-23,Crédito consumo digital,1750000,18,0.0321,130000,Web,877,0.0492,Automática,Activo
CR000401,CL00368,2025-11-17,Microcrédito,2300000,12,0.0428,249000,Web,571,0.1215,Manual,Activo
CR000402,CL00369,2025-12-28,Crédito consumo digital,1250000,12,0.0363,130000,App,795,0.0588,Automática,Activo
CR000403,CL00369,2025-02-07,Crédito libre inversión,3550000,9,0.0277,451000,Web,816,0.2041,Automática,Mora moderada
CR000404,CL00369,2024-09-10,Avance de nómina,850000,9,0.0261,107000,Aliado,900,0.0484,Automática,Finalizado
CR000405,CL00371,2026-02-20,Crédito consumo digital,2300000,9,0.0351,303000,App,695,0.0723,Automática,Activo
CR000406,CL00372,2024-07-11,Crédito consumo digital,1700000,9,0.033,221000,Aliado,900,0.0505,Automática,Finalizado
CR000407,CL00374,2024-05-02,Crédito libre inversión,1700000,18,0.0171,110000,Web,566,0.0618,Manual,Finalizado
CR000408,CL00375,2023-04-11,Microcrédito,3200000,12,0.0251,312000,App,851,0.1345,Automática,Mora severa
CR000409,CL00375,2023-08-07,Microcrédito,2700000,6,0.0374,511000,App,787,0.2203,Automática,Mora moderada
CR000410,CL00376,2024-06-26,Avance de nómina,450000,12,0.029,45000,Call center,883,0.015,Automática,Finalizado
CR000411,CL00376,2025-08-11,Crédito consumo digital,800000,9,0.0319,104000,Aliado,790,0.0346,Automática,Activo
CR000412,CL00376,2023-05-02,Crédito libre inversión,1750000,3,0.0196,606000,Aliado,860,0.2013,Automática,Finalizado
CR000413,CL00377,2026-03-15,Crédito consumo digital,1400000,12,0.0246,136000,App,831,0.0469,Automática,Activo
CR000414,CL00378,2026-01-06,Crédito consumo digital,900000,12,0.0225,86000,Aliado,704,0.0497,Automática,Activo
CR000415,CL00378,2026-01-18,Crédito libre inversión,1800000,3,0.017,621000,Web,677,0.359,Manual,Mora moderada
CR000416,CL00379,2024-10-31,Crédito libre inversión,2950000,9,0.0246,369000,Web,873,0.0979,Automática,Mora moderada
CR000417,CL00380,2025-11-24,Crédito consumo digital,2700000,9,0.0341,353000,App,786,0.1293,Automática,Activo
CR000418,CL00380,2025-10-23,Crédito libre inversión,3000000,6,0.018,532000,App,867,0.1949,Automática,Finalizado
CR000419,CL00380,2026-03-10,Crédito consumo digital,2100000,9,0.035,276000,Web,857,0.1011,Automática,Activo
CR000420,CL00381,2023-11-22,Crédito consumo digital,900000,9,0.0223,111000,Aliado,747,0.073,Automática,Mora severa
CR000421,CL00382,2025-09-27,Crédito libre inversión,6800000,3,0.0339,2422000,App,900,0.3387,Automática,Finalizado
CR000422,CL00383,2025-07-18,Microcrédito,3350000,9,0.0324,435000,App,869,0.1154,Automática,Mora moderada
CR000423,CL00383,2026-01-02,Crédito consumo digital,1350000,9,0.0356,178000,Web,795,0.0472,Automática,Activo
CR000424,CL00384,2025-05-22,Crédito consumo digital,4150000,18,0.0323,308000,Aliado,877,0.0725,Automática,Activo
CR000425,CL00384,2026-02-13,Microcrédito,2950000,12,0.0289,294000,App,900,0.0692,Automática,Activo
CR000426,CL00385,2026-01-13,Crédito consumo digital,1300000,12,0.0269,128000,Aliado,848,0.0604,Automática,Activo
CR000427,CL00386,2024-03-09,Crédito consumo digital,2100000,6,0.0237,380000,Web,780,0.1467,Automática,Mora severa
CR000428,CL00386,2025-10-15,Crédito consumo digital,1150000,18,0.036,88000,App,794,0.034,Automática,Mora moderada
CR000429,CL00387,2025-12-26,Crédito libre inversión,3700000,6,0.028,678000,App,679,0.2638,Automática,Mora moderada
CR000430,CL00389,2025-08-31,Crédito libre inversión,6650000,24,0.0221,360000,App,877,0.1682,Automática,Activo
CR000431,CL00390,2024-11-02,Avance de nómina,1050000,6,0.0291,193000,Aliado,900,0.039,Automática,Finalizado
CR000432,CL00391,2025-07-12,Avance de nómina,350000,6,0.0195,62000,App,797,0.0323,Automática,Finalizado
CR000433,CL00393,2026-02-22,Avance de nómina,250000,6,0.0241,45000,Aliado,720,0.0616,Automática,Activo
CR000434,CL00394,2025-11-16,Crédito consumo digital,1950000,12,0.0294,195000,Aliado,727,0.1147,Automática,Activo
CR000435,CL00394,2025-10-22,Crédito consumo digital,1350000,9,0.0309,174000,Web,769,0.1024,Automática,Activo
CR000436,CL00395,2025-09-11,Crédito libre inversión,4650000,12,0.0228,447000,App,803,0.1437,Automática,Activo
CR000437,CL00395,2024-02-22,Crédito consumo digital,1550000,9,0.0352,204000,Web,834,0.0656,Automática,Finalizado
CR000438,CL00395,2025-03-28,Crédito consumo digital,1950000,9,0.0329,254000,App,842,0.0817,Automática,Finalizado
CR000439,CL00397,2026-03-09,Microcrédito,1850000,3,0.0287,652000,Aliado,741,0.3622,Manual,Activo
CR000440,CL00398,2025-07-24,Crédito consumo digital,550000,12,0.0278,55000,App,719,0.1222,Automática,Mora severa
CR000441,CL00399,2025-01-03,Microcrédito,1100000,6,0.0346,206000,App,798,0.1177,Automática,Mora moderada
CR000442,CL00399,2025-01-03,Crédito consumo digital,1350000,18,0.0367,104000,App,829,0.0594,Automática,Mora severa
CR000443,CL00400,2025-07-30,Crédito consumo digital,1850000,12,0.0258,181000,App,900,0.087,Automática,Activo
CR000444,CL00401,2025-02-12,Crédito libre inversión,6000000,3,0.0312,2126000,App,708,0.9325,Excepción,Finalizado
CR000445,CL00401,2026-03-27,Crédito consumo digital,1400000,6,0.0232,253000,App,783,0.111,Automática,Activo
CR000446,CL00402,2025-12-18,Avance de nómina,1400000,9,0.0284,178000,App,827,0.048,Automática,Activo
CR000447,CL00404,2026-03-02,Microcrédito,2750000,6,0.0315,510000,Web,673,0.2656,Automática,Activo
CR000448,CL00405,2025-10-03,Crédito libre inversión,1950000,6,0.0243,353000,App,798,0.1374,Automática,Mora moderada
CR000449,CL00406,2023-07-09,Crédito consumo digital,950000,6,0.12,176000,Call center,854,0.0765,Automática,Finalizado
CR000450,CL00406,2024-07-27,Crédito consumo digital,3300000,3,0.0344,1177000,App,836,0.5117,Manual,Finalizado
CR000451,CL00407,2025-05-14,Microcrédito,1500000,12,0.0352,155000,App,783,0.0622,Automática,Activo
CR000452,CL00408,2025-07-10,Crédito consumo digital,1250000,6,0.0319,232000,App,884,0.072,Automática,Finalizado
CR000453,CL00410,2024-10-13,Microcrédito,3550000,12,0.0359,369000,Call center,804,0.1157,Automática,Finalizado
CR000454,CL00411,2025-09-01,Crédito consumo digital,4050000,3,0.0303,1433000,App,900,0.2334,Automática,Finalizado
CR000455,CL00412,2026-01-15,Crédito consumo digital,800000,6,0.029,147000,App,873,0.0782,Automática,Activo
CR000456,CL00412,2026-02-12,Microcrédito,1500000,12,0.0279,149000,App,805,0.0793,Automática,Activo
CR000457,CL00413,2024-05-27,Crédito libre inversión,1250000,3,0.0243,437000,App,719,0.2241,Automática,Finalizado
CR000458,CL00413,2025-04-17,Crédito consumo digital,1450000,6,0.0238,262000,Aliado,811,0.1344,Automática,Mora moderada
CR000459,CL00414,2025-07-31,Microcrédito,4800000,12,0.031,485000,App,623,0.1488,Automática,Activo
CR000460,CL00415,2024-06-24,Crédito consumo digital,900000,24,0.0228,49000,Web,758,0.0206,Automática,Activo
CR000461,CL00415,2025-08-21,Microcrédito,3400000,6,0.0389,646000,Web,774,0.2714,Automática,Finalizado
CR000462,CL00416,2025-06-01,Crédito consumo digital,1650000,12,0.0358,172000,Aliado,874,0.0435,Automática,Activo
CR000463,CL00416,2023-11-20,Avance de nómina,1200000,12,0.0249,117000,App,900,0.0296,Automática,Finalizado
CR000464,CL00417,2024-05-27,Microcrédito,2500000,6,0.0302,462000,App,900,0.14,Automática,Mora severa
CR000465,CL00417,2023-10-15,Crédito consumo digital,450000,18,0.0355,34000,Aliado,900,0.0103,Automática,Finalizado
CR000466,CL00417,2026-01-26,Microcrédito,2050000,6,0.0385,389000,Call center,869,0.1179,Automática,Activo
